Table 6,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,
"by Metropolitan Statistical Area, 2019",,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
,"Rate per 100,000 inhabitants",,461.1,5.6,54.2,38.2,363.2,"2,449.3",197.2,"2,165.3",86.8
"Flint, MI M.S.A.4",,"403,666", ,,,,, ,,,
,Includes Genesee County4,,,,,,,,,,
,City of Flint,"95,212","1,284 ",23 ,64 ,78 ,"1,119 ","1,986 ",559 ,"1,220 ",207 
,Total area actually reporting,100.0%,"2,340 ",30 ,259 ,177 ,"1,874 ",,,"4,624 ",600 
,"Rate per 100,000 inhabitants",,579.7,7.4,64.2,43.8,464.2,,,"1,145.5",148.6
"Florence, SC M.S.A.",,"204,992", ,,,,, ,,,
,Includes Darlington and Florence Counties,,,,,,,,,,
,City of Florence,"37,640",447 ,7 ,29 ,58 ,353 ,"2,496 ",388 ,"1,909 ",199 
,Total area actually reporting,98.8%,"1,678 ",34 ,140 ,220 ,"1,284 ","8,235 ","1,927 ","5,665 ",643 
,Estimated total,100.0%,"1,688 ",34 ,141 ,221 ,"1,292 ","8,321 ","1,945 ","5,728 ",648 
,"Rate per 100,000 inhabitants",,823.4,16.6,68.8,107.8,630.3,"4,059.2",948.8,"2,794.3",316.1
"Fond du Lac, WI M.S.A.",,"103,125", ,,,,, ,,,
,Includes Fond du Lac County,,,,,,,,,,
,City of Fond du Lac,"42,954",134 ,0 ,28 ,14 ,92 ,797 ,59 ,697 ,41 
,Total area actually reporting,100.0%,182 ,0 ,50 ,15 ,117 ,"1,131 ",178 ,898 ,55 
,"Rate per 100,000 inhabitants",,176.5,0.0,48.5,14.5,113.5,"1,096.7",172.6,870.8,53.3
"Fort Collins, CO M.S.A.",,"355,815",,,,,,,,,
,Includes Larimer County,, ,,,,,,,,
,City of Fort Collins,"170,889",371 ,1 ,41 ,36 ,293 ,"3,713 ",350 ,"3,135 ",228 
,Total area actually reporting,100.0%,833 ,3 ,124 ,63 ,643 ,"6,683 ",691 ,"5,533 ",459 
,"Rate per 100,000 inhabitants",,234.1,0.8,34.8,17.7,180.7,"1,878.2",194.2,"1,555.0",129.0
"Fort Smith, AR-OK M.S.A.",,"249,623", , ,,,, ,,,
,"Includes Crawford, Franklin, and Sebastian Counties, AR and Sequoyah County, OK",,,,,,,,,,
,"City of Fort Smith, AR","88,041",863 ,4 ,97 ,90 ,672 ,"5,127 ",812 ,"3,929 ",386 
,Total area actually reporting,99.6%,"1,457 ",8 ,206 ,106 ,"1,137 ","7,925 ","1,501 ","5,815 ",609 
,Estimated total,100.0%,"1,462 ",8 ,207 ,106 ,"1,141 ","7,944 ","1,506 ","5,828 ",610 
,"Rate per 100,000 inhabitants",,585.7,3.2,82.9,42.5,457.1,"3,182.4",603.3,"2,334.7",244.4
"Fort Wayne, IN M.S.A.",,"412,827", ,,,,, ,,,
,Includes Allen and Whitley Counties,,,,,,,,,,
,City of Fort Wayne,"269,366",974 ,26 ,145 ,357 ,446 ,"7,437 ",990 ,"5,879 ",568 
,Total area actually reporting,94.4%,"1,227 ",30 ,195 ,401 ,601 ,"8,580 ","1,167 ","6,714 ",699 
,Estimated total,100.0%,"1,259 ",30 ,196 ,403 ,630 ,"8,726 ","1,200 ","6,811 ",715 
,"Rate per 100,000 inhabitants",,305.0,7.3,47.5,97.6,152.6,"2,113.7",290.7,"1,649.8",173.2
"Gainesville, FL M.S.A.",,"329,709", ,,,,, ,,,
,"Includes Alachua, Gilchrist, and Levy Counties",,,,,,,,,,
,City of Gainesville,"135,085",928 ,2 ,153 ,185 ,588 ,"4,712 ",501 ,"3,803 ",408 
,Total area actually reporting,100.0%,"2,282 ",7 ,309 ,297 ,"1,669 ","8,091 ","1,345 ","6,054 ",692 
,"Rate per 100,000 inhabitants",,692.1,2.1,93.7,90.1,506.2,"2,454.0",407.9,"1,836.2",209.9
"Glens Falls, NY M.S.A.",,"124,339", ,,,,, ,,,
,Includes Warren and Washington Counties,,,,,,,,,,
,City of Glens Falls,"14,306",28 ,0 ,8 ,1 ,19 ,100 ,18 ,80 ,2 
,Total area actually reporting,98.0%,156 ,0 ,94 ,6 ,56 ,885 ,123 ,728 ,34 
,Estimated total,100.0%,158 ,0 ,94 ,6 ,58 ,906 ,126 ,745 ,35 
,"Rate per 100,000 inhabitants",,127.1,0.0,75.6,4.8,46.6,728.7,101.3,599.2,28.1
"Goldsboro, NC M.S.A.3",,"123,222", ,,,,, ,,,
,Includes Wayne County3,,,,,,,,,,
,City of Goldsboro3,"34,085",267 ,2 ,7 ,50 ,208 ,"1,985 ",380 ,"1,506 ",99 
,Total area actually reporting,97.7%,501 ,4 ,10 ,82 ,405 ,"3,298 ",865 ,"2,180 ",253 
,Estimated total,100.0%,511 ,4 ,11 ,82 ,414 ,"3,376 ",887 ,"2,229 ",260 
,"Rate per 100,000 inhabitants",,414.7,3.2,8.9,66.5,336.0,"2,739.8",719.8,"1,808.9",211.0
"Grand Forks, ND-MN M.S.A.3",,"101,736", ,,,,, ,,,
,"Includes Polk County,3 MN and Grand Forks County, ND",,,,,,,,,,
,"City of Grand Forks, ND","57,459",166 ,0 ,25 ,23 ,118 ,"1,422 ",218 ,"1,101 ",103 
,Total area actually reporting,100.0%,255 ,1 ,42 ,24 ,188 ,"2,080 ",336 ,"1,594 ",150 
,"Rate per 100,000 inhabitants",,250.6,1.0,41.3,23.6,184.8,"2,044.5",330.3,"1,566.8",147.4
"Grand Island, NE M.S.A.",,"75,855", ,,,,, ,,,
,"Includes Hall, Howard, and Merrick Counties",,,,,,,,,,
,City of Grand Island,"51,821",236 ,1 ,55 ,14 ,166 ,"1,323 ",189 ,"1,034 ",100 
,Total area actually reporting,100.0%,285 ,1 ,60 ,15 ,209 ,"1,456 ",224 ,"1,118 ",114 
,"Rate per 100,000 inhabitants",,375.7,1.3,79.1,19.8,275.5,"1,919.5",295.3,"1,473.9",150.3
"Grand Junction, CO M.S.A.",,"153,429", ,,,,, ,,,
,Includes Mesa County,,,,,,,,,,
,City of Grand Junction,"63,949",235 ,3 ,43 ,30 ,159 ,"2,463 ",278 ,"2,034 ",151 
,Total area actually reporting,99.2%,427 ,9 ,85 ,49 ,284 ,"3,764 ",555 ,"2,932 ",277 
,Estimated total,100.0%,435 ,9 ,85 ,50 ,291 ,"3,893 ",562 ,"3,049 ",282 
,"Rate per 100,000 inhabitants",,283.5,5.9,55.4,32.6,189.7,"2,537.3",366.3,"1,987.2",183.8
"Grand Rapids-Kentwood, MI M.S.A.4",,"1,079,969", ,,,,, ,,,
,"Includes Ionia, Kent, Montcalm, and Ottawa Counties",,,,,,,,,,
,City of Grand Rapids,"201,799","1,286 ",8 ,144 ,274 ,860 ,"3,850 ",595 ,"2,754 ",501 
,City of Kentwood,"52,274",162 ,0 ,23 ,20 ,119 ,"1,111 ",170 ,850 ,91 
,Total area actually reporting,99.9%,"3,469 ",24 ,857 ,446 ,"2,142 ",,,"10,937 ","1,248 "
,Estimated total,100.0%,"3,472 ",24 ,857 ,446 ,"2,145 ",,,"10,952 ","1,249 "
,"Rate per 100,000 inhabitants",,321.5,2.2,79.4,41.3,198.6,,,"1,014.1",115.7
"Grants Pass, OR M.S.A.",,"87,564", ,,,,, ,,,
,Includes Josephine County,,,,,,,,,,
,City of Grants Pass,"38,475",121 ,0 ,24 ,21 ,76 ,"1,235 ",151 ,958 ,126 
,Total area actually reporting,100.0%,209 ,0 ,37 ,24 ,148 ,"1,643 ",229 ,"1,114 ",300 
,"Rate per 100,000 inhabitants",,238.7,0.0,42.3,27.4,169.0,"1,876.3",261.5,"1,272.2",342.6
"Great Falls, MT M.S.A.4",,"81,418", ,,,,, ,,,
,Includes Cascade County4,,,,,,,,,,
,City of Great Falls,"58,637",302 ,0 ,39 ,18 ,245 ,"3,405 ",318 ,"2,826 ",261 
,Total area actually reporting,100.0%,,,43 ,21 ,314 ,"3,653 ",375 ,"2,983 ",295 
,"Rate per 100,000 inhabitants",,,,52.8,25.8,385.7,"4,486.7",460.6,"3,663.8",362.3
"Greeley, CO M.S.A.3",,"321,385", ,,,,, ,,,
,Includes Weld County,,,,,,,,,,
,City of Greeley,"109,255",386 ,2 ,71 ,67 ,246 ,"2,542 ",338 ,"1,898 ",306 
,Total area actually reporting,94.7%,660 ,5 ,154 ,87 ,414 ,"4,767 ",654 ,"3,509 ",604 
,Estimated total,100.0%,694 ,5 ,158 ,93 ,438 ,"5,246 ",701 ,"3,894 ",651 
,"Rate per 100,000 inhabitants",,215.9,1.6,49.2,28.9,136.3,"1,632.3",218.1,"1,211.6",202.6
"Green Bay, WI M.S.A.",,"323,107", ,,,,, ,,,
,"Includes Brown, Kewaunee, and Oconto Counties",,, ,,,,,,,
,City of Green Bay,"104,992",529 ,3 ,78 ,49 ,399 ,"1,724 ",245 ,"1,355 ",124 
,Total area actually reporting,100.0%,730 ,5 ,135 ,56 ,534 ,"3,549 ",423 ,"2,938 ",188 
,"Rate per 100,000 inhabitants",,225.9,1.5,41.8,17.3,165.3,"1,098.4",130.9,909.3,58.2
"Greensboro-High Point, NC M.S.A.3",,"772,854", ,,,,, ,,,
,"Includes Guilford, Randolph, and Rockingham Counties3",,,,,,,,,,
,City of Greensboro3,"298,025","2,440 ",43 ,113 ,621 ,"1,663 ","10,994 ","2,215 ","7,792 ",987 
,City of High Point3,"113,307",828 ,19 ,44 ,133 ,632 ,"3,726 ",621 ,"2,705 ",400 
,Total area actually reporting,81.4%,"3,738 ",69 ,216 ,825 ,"2,628 ","18,073 ","3,793 ","12,660 ","1,620 "
,Estimated total,100.0%,"4,098 ",75 ,255 ,876 ,"2,892 ","20,835 ","4,473 ","14,540 ","1,822 "
,"Rate per 100,000 inhabitants",,530.2,9.7,33.0,113.3,374.2,"2,695.9",578.8,"1,881.3",235.7
"Greenville, NC M.S.A.3",,"181,242", ,,,,, ,,,
,Includes Pitt County3,,,,,,,,,,
,City of Greenville3,"94,193",437 ,5 ,17 ,94 ,321 ,"2,837 ",415 ,"2,308 ",114 
,Total area actually reporting,96.3%,630 ,8 ,34 ,131 ,457 ,"4,165 ",806 ,"3,176 ",183 
,Estimated total,100.0%,657 ,8 ,37 ,135 ,477 ,"4,383 ",852 ,"3,335 ",196 
,"Rate per 100,000 inhabitants",,362.5,4.4,20.4,74.5,263.2,"2,418.3",470.1,"1,840.1",108.1
"Gulfport-Biloxi, MS M.S.A.3",,"417,585",,,,,,,,,
,"Includes Hancock, Harrison, Jackson, and Stone Counties",,,,,,,,,,
,City of Gulfport,"72,383",236 ,12 ,25 ,65 ,134 ,"3,492 ",419 ,"2,805 ",268 
,City of Biloxi,"46,185",188 ,3 ,35 ,65 ,85 ,"2,663 ",619 ,"1,877 ",167 
,Total area actually reporting,95.3%,888 ,26 ,152 ,220 ,490 ,"13,273 ","2,225 ","9,887 ","1,161 "
,Estimated total,100.0%,924 ,27 ,158 ,228 ,511 ,"13,849 ","2,300 ","10,356 ","1,193 "
,"Rate per 100,000 inhabitants",,221.3,6.5,37.8,54.6,122.4,"3,316.5",550.8,"2,480.0",285.7
"Hanford-Corcoran, CA M.S.A.",,"149,966",,,,,,,,,
,Includes Kings County,, ,,,,,,,,
,City of Hanford,"57,232",257 ,0 ,18 ,40 ,199 ,"1,242 ",131 ,900 ,211 
,City of Corcoran,"21,353",118 ,1 ,8 ,12 ,97 ,272 ,65 ,157 ,50 
,Total area actually reporting,100.0%,757 ,4 ,71 ,88 ,594 ,"2,466 ",410 ,"1,662 ",394 
,"Rate per 100,000 inhabitants",,504.8,2.7,47.3,58.7,396.1,"1,644.4",273.4,"1,108.3",262.7
"Harrisonburg, VA M.S.A.",,"135,787", ,,,,, ,,,
,Includes Rockingham County and Harrisonburg City,,,,,,,,,,
,City of Harrisonburg,"54,387",112 ,0 ,32 ,17 ,63 ,924 ,68 ,813 ,43 
,Total area actually reporting,100.0%,172 ,0 ,62 ,19 ,91 ,"1,583 ",208 ,"1,296 ",79 
,"Rate per 100,000 inhabitants",,126.7,0.0,45.7,14.0,67.0,"1,165.8",153.2,954.4,58.2
"Hartford-East Hartford-Middletown, CT M.S.A.3, 5",,"1,015,769",,,,,,,,,
,"Includes Hartford, Middlesex, and Tolland Counties",,,,,,,,,,
,City of Hartford,"122,245","1,049 ",21 ,31 ,271 ,726 ,"3,424 ",427 ,"2,464 ",533 
,City of East Hartford,"49,842",76 ,1 ,18 ,31 ,26 ,775 ,109 ,525 ,141 
,City of Middletown,"45,963",38 ,0 ,5 ,10 ,23 ,613 ,62 ,474 ,77 
,Total area actually reporting,100.0%,"2,021 ",32 ,197 ,565 ,"1,227 ",,"1,999 ","13,411 ",
,"Rate per 100,000 inhabitants",,199.0,3.2,19.4,55.6,120.8,,196.8,"1,320.3",
"Hilton Head Island-Bluffton, SC M.S.A.",,"221,873",,,,,,,,,
,Includes Beaufort and Jasper Counties,, ,,,,,,,,
,City of Bluffton,"24,812",46 ,1 ,9 ,10 ,26 ,220 ,35 ,175 ,10 
,Total area actually reporting,91.6%,784 ,11 ,69 ,138 ,566 ,"3,085 ",499 ,"2,374 ",212 
,Estimated total,100.0%,882 ,13 ,77 ,143 ,649 ,"3,476 ",610 ,"2,615 ",251 
,"Rate per 100,000 inhabitants",,397.5,5.9,34.7,64.5,292.5,"1,566.7",274.9,"1,178.6",113.1
"Homosassa Springs, FL M.S.A.",,"147,739",,,,,,,,,
,Includes Citrus County,, ,,,,,,,,
,Total area actually reporting,100.0%,373 ,4 ,29 ,40 ,300 ,"2,055 ",394 ,"1,466 ",195 
,"Rate per 100,000 inhabitants",,252.5,2.7,19.6,27.1,203.1,"1,391.0",266.7,992.3,132.0
"Hot Springs, AR M.S.A.4",,"99,238", ,,,,, ,,,
,Includes Garland County4,,,,,,,,,,
,City of Hot Springs,"37,263",241 ,10 ,38 ,42 ,151 ,"2,674 ",755 ,"1,710 ",209 
,Total area actually reporting,100.0%,520 ,10 ,63 ,50 ,397 ,,,"2,385 ",354 
,"Rate per 100,000 inhabitants",,524.0,10.1,63.5,50.4,400.0,,,"2,403.3",356.7
"Houma-Thibodaux, LA M.S.A.",,"208,034",,,,,,,,,
,Includes Lafourche and Terrebonne Parishes,,,,,,,,,,
,City of Houma,"32,771",209 ,4 ,17 ,22 ,166 ,"1,489 ",169 ,"1,260 ",60 
,City of Thibodaux,"14,587",81 ,4 ,5 ,0 ,72 ,515 ,63 ,432 ,20 
,Total area actually reporting,97.9%,761 ,20 ,70 ,38 ,633 ,"6,005 ",874 ,"4,866 ",265 
,Estimated total,100.0%,779 ,20 ,70 ,38 ,651 ,"6,097 ",899 ,"4,928 ",270 
,"Rate per 100,000 inhabitants",,374.5,9.6,33.6,18.3,312.9,"2,930.8",432.1,"2,368.8",129.8
"Huntington-Ashland, WV-KY-OH M.S.A.",,"356,404",,,,,,,,,
,"Includes Boyd, Carter, and Greenup Counties, KY; Lawrence County OH; and Cabell, Putnam, and Wayne Counties, WV",,,,,,,,,,
,"City of Huntington, WV","45,675",330 ,4 ,56 ,59 ,211 ,"1,792 ",456 ,"1,147 ",189 
,"City of Ashland, KY","20,222",59 ,3 ,11 ,14 ,31 ,740 ,96 ,608 ,36 
,Total area actually reporting,86.7%,826 ,12 ,145 ,91 ,578 ,"5,254 ","1,164 ","3,588 ",502 
,Estimated total,100.0%,945 ,14 ,158 ,101 ,672 ,"5,969 ","1,317 ","4,094 ",558 
,"Rate per 100,000 inhabitants",,265.1,3.9,44.3,28.3,188.6,"1,674.8",369.5,"1,148.7",156.6
"Idaho Falls, ID M.S.A.",,"151,591", ,,,,, ,,,
,"Includes Bonneville, Butte, and Jefferson Counties",,,,,,,,,,
,City of Idaho Falls,"62,088",172 ,1 ,37 ,11 ,123 ,940 ,264 ,608 ,68 
,Total area actually reporting,100.0%,310 ,2 ,54 ,14 ,240 ,"1,651 ",443 ,"1,092 ",116 
,"Rate per 100,000 inhabitants",,204.5,1.3,35.6,9.2,158.3,"1,089.1",292.2,720.4,76.5
"Iowa City, IA M.S.A.",,"175,274", ,,,,, ,,,
,Includes Johnson and Washington Counties,,,,,,,,,,
,City of Iowa City,"77,390",167 ,1 ,40 ,25 ,101 ,"1,252 ",314 ,867 ,71 
,Total area actually reporting,99.4%,480 ,4 ,95 ,43 ,338 ,"2,629 ",505 ,"1,985 ",139 
,Estimated total,100.0%,485 ,4 ,96 ,44 ,341 ,"2,658 ",511 ,"2,005 ",142 
,"Rate per 100,000 inhabitants",,276.7,2.3,54.8,25.1,194.6,"1,516.5",291.5,"1,143.9",81.0
"Ithaca, NY M.S.A",,"102,363", ,,,,, ,,,
,Includes Tompkins County,,,,,,,,,,
,City of Ithaca,"31,122",41 ,1 ,5 ,9 ,26 ,840 ,56 ,768 ,16 
,Total area actually reporting,100.0%,127 ,1 ,53 ,19 ,54 ,"1,707 ",197 ,"1,478 ",32 
,"Rate per 100,000 inhabitants",,124.1,1.0,51.8,18.6,52.8,"1,667.6",192.5,"1,443.9",31.3
"Jackson, MI M.S.A.",,"158,260", ,,,,, ,,,
,Includes Jackson County,,,,,,,,,,
,City of Jackson,"32,503",360 ,4 ,51 ,37 ,268 ,"1,344 ",206 ,"1,025 ",113 
,Total area actually reporting,100.0%,814 ,5 ,162 ,50 ,597 ,"3,173 ",420 ,"2,528 ",225 
,"Rate per 100,000 inhabitants",,514.3,3.2,102.4,31.6,377.2,"2,004.9",265.4,"1,597.4",142.2
"Jackson, TN M.S.A.",,"178,143", ,,,,, ,,,
,"Includes Chester, Crockett, Gibson, and Madison Counties",,,,,,,,,,
,City of Jackson,"66,915",650 ,17 ,30 ,97 ,506 ,"2,473 ",374 ,"1,904 ",195 
,Total area actually reporting,100.0%,"1,093 ",21 ,66 ,129 ,877 ,"4,179 ",751 ,"3,062 ",366 
,"Rate per 100,000 inhabitants",,613.6,11.8,37.0,72.4,492.3,"2,345.9",421.6,"1,718.8",205.5
"Jacksonville, FL M.S.A.",,"1,549,030", ,,,,, ,,,
,"Includes Baker, Clay, Duval, Nassau, and St. Johns Counties",,,,,,,,,,
,City of Jacksonville,"909,142","5,886 ",129 ,554 ,"1,294 ","3,909 ","30,088 ","4,906 ","22,373 ","2,809 "
,Total area actually reporting,100.0%,"7,353 ",143 ,779 ,"1,456 ","4,975 ","38,810 ","6,410 ","28,976 ","3,424 "
,"Rate per 100,000 inhabitants",,474.7,9.2,50.3,94.0,321.2,"2,505.4",413.8,"1,870.6",221.0
"Janesville-Beloit, WI M.S.A.3",,"163,288", ,,,,, ,,,
,Includes Rock County,,,,,,,,,,
,City of Janesville,"64,687",148 ,1 ,38 ,28 ,81 ,"1,577 ",137 ,"1,397 ",43 
,City of Beloit3,"37,025",154 ,4 ,19 ,31 ,100 ,"1,114 ",122 ,921 ,71 
,Total area actually reporting,100.0%,380 ,5 ,75 ,69 ,231 ,"3,247 ",356 ,"2,738 ",153 
,"Rate per 100,000 inhabitants",,232.7,3.1,45.9,42.3,141.5,"1,988.5",218.0,"1,676.8",93.7
"Jefferson City, MO M.S.A.",,"151,555", ,,,,, ,,,
,"Includes Callaway, Cole, Moniteau, and Osage Counties",,,,,,,,,,
,City of Jefferson City,"42,793",119 ,2 ,30 ,23 ,64 ,"1,101 ",125 ,910 ,66 
,Total area actually reporting,100.0%,334 ,7 ,58 ,29 ,240 ,"2,826 ",490 ,"2,127 ",209 
,"Rate per 100,000 inhabitants",,220.4,4.6,38.3,19.1,158.4,"1,864.7",323.3,"1,403.5",137.9
"Johnson City, TN M.S.A.",,"203,289", ,,,,, ,,,
,"Includes Carter, Unicoi, and Washington Counties",,,,,,,,,,
,City of Johnson City,"67,197",286 ,1 ,28 ,38 ,219 ,"2,390 ",301 ,"1,904 ",185 
,Total area actually reporting,100.0%,668 ,3 ,59 ,47 ,559 ,"4,498 ",712 ,"3,330 ",456 
,"Rate per 100,000 inhabitants",,328.6,1.5,29.0,23.1,275.0,"2,212.6",350.2,"1,638.1",224.3
"Jonesboro, AR M.S.A.",,"133,624", ,,,,, ,,,
,Includes Craighead and Poinsett Counties,,,,,,,,,,
,City of Jonesboro,"78,261",537 ,13 ,74 ,58 ,392 ,"2,982 ","1,092 ","1,758 ",132 
,Total area actually reporting,98.7%,733 ,15 ,131 ,65 ,522 ,"4,077 ","1,405 ","2,440 ",232 
,Estimated total,100.0%,743 ,15 ,133 ,66 ,529 ,"4,116 ","1,414 ","2,467 ",235 
,"Rate per 100,000 inhabitants",,556.0,11.2,99.5,49.4,395.9,"3,080.3","1,058.2","1,846.2",175.9
"Joplin, MO M.S.A.",,"179,103", ,,,,, ,,,
,Includes Jasper and Newton Counties,,,,,,,,,,
,City of Joplin,"50,635",307 ,2 ,63 ,63 ,179 ,"3,677 ",521 ,"2,815 ",341 
,Total area actually reporting,100.0%,593 ,3 ,107 ,83 ,400 ,"6,555 ","1,028 ","4,863 ",664 
,"Rate per 100,000 inhabitants",,331.1,1.7,59.7,46.3,223.3,"3,659.9",574.0,"2,715.2",370.7
"Kahului-Wailuku-Lahaina, HI M.S.A.",,"167,475",,,,,,,,,
,Includes Maui County,, ,,,,,,,,
,Total area actually reporting,100.0%,449 ,1 ,110 ,67 ,271 ,"4,984 ",577 ,"3,746 ",661 
,"Rate per 100,000 inhabitants",,268.1,0.6,65.7,40.0,161.8,"2,976.0",344.5,"2,236.8",394.7
"Kalamazoo-Portage, MI M.S.A.",,"266,016",,,,,,,,,
,Includes Kalamazoo County,, ,,,,,,,,
,City of Kalamazoo,"76,827",949 ,9 ,110 ,182 ,648 ,"3,578 ",703 ,"2,546 ",329 
,City of Portage,"49,583",136 ,0 ,30 ,14 ,92 ,"1,549 ",204 ,"1,279 ",66 
,Total area actually reporting,99.2%,"1,518 ",12 ,225 ,259 ,"1,022 ","8,555 ","1,556 ","6,288 ",711 
,Estimated total,100.0%,"1,523 ",12 ,226 ,259 ,"1,026 ","8,583 ","1,560 ","6,311 ",712 
,"Rate per 100,000 inhabitants",,572.5,4.5,85.0,97.4,385.7,"3,226.5",586.4,"2,372.4",267.7
"Kankakee, IL M.S.A.",,"109,111",,,,,,,,,
,Includes Kankakee County,, ,,,,,,,,
,City of Kankakee,"25,872",236 ,4 ,29 ,53 ,150 ,873 ,156 ,675 ,42 
,Total area actually reporting,98.6%,423 ,5 ,58 ,90 ,270 ,"2,072 ",297 ,"1,690 ",85 
,Estimated total,100.0%,424 ,5 ,58 ,90 ,271 ,"2,096 ",301 ,"1,709 ",86 
,"Rate per 100,000 inhabitants",,388.6,4.6,53.2,82.5,248.4,"1,921.0",275.9,"1,566.3",78.8
"Kennewick-Richland, WA M.S.A.",,"300,701",,,,,,,,,
,Includes Benton and Franklin Counties,,,,,,,,,,
,City of Kennewick,"84,072",253 ,2 ,54 ,49 ,148 ,"2,487 ",378 ,"1,907 ",202 
,City of Richland,"58,514",100 ,2 ,24 ,9 ,65 ,"1,199 ",195 ,949 ,55 
,Total area actually reporting,100.0%,660 ,8 ,136 ,111 ,405 ,"5,851 ",945 ,"4,391 ",515 
,"Rate per 100,000 inhabitants",,219.5,2.7,45.2,36.9,134.7,"1,945.8",314.3,"1,460.3",171.3
"Killeen-Temple, TX M.S.A.3",,"454,647",,,,,,,,,
,"Includes Bell, Coryell, and Lampasas3 Counties",,,,,,,,,,
,City of Killeen,"151,832",583 ,14 ,105 ,124 ,340 ,"3,432 ",818 ,"2,296 ",318 
,City of Temple,"77,558",217 ,4 ,61 ,39 ,113 ,"1,718 ",244 ,"1,276 ",198 
,Total area actually reporting,99.3%,"1,196 ",19 ,259 ,201 ,717 ,"8,187 ","1,615 ","5,916 ",656 
,Estimated total,100.0%,"1,202 ",19 ,259 ,201 ,723 ,"8,231 ","1,624 ","5,946 ",661 
,"Rate per 100,000 inhabitants",,264.4,4.2,57.0,44.2,159.0,"1,810.4",357.2,"1,307.8",145.4
"Kingsport-Bristol, TN-VA M.S.A.",,"305,838",,,,,,,,,
,"Includes Hawkins and Sullivan Counties, TN and Scott and Washington Counties and Bristol City, VA",,,,,,,,,,
,"City of Kingsport, TN","54,218",332 ,3 ,22 ,35 ,272 ,"2,829 ",324 ,"2,232 ",273 
,"City of Bristol, TN","26,900",135 ,1 ,15 ,12 ,107 ,813 ,138 ,604 ,71 
,Total area actually reporting,100.0%,920 ,14 ,107 ,74 ,725 ,"7,019 ","1,097 ","5,154 ",768 
,"Rate per 100,000 inhabitants",,300.8,4.6,35.0,24.2,237.1,"2,295.0",358.7,"1,685.2",251.1
"Kingston, NY M.S.A.",,"177,151", ,,,,, ,,,
,Includes Ulster County,,,,,,,,,,
,City of Kingston,"22,844",68 ,2 ,13 ,10 ,43 ,498 ,59 ,419 ,20 
,Total area actually reporting,89.6%,249 ,4 ,72 ,19 ,154 ,"1,740 ",234 ,"1,439 ",67 
,Estimated total,100.0%,266 ,4 ,75 ,22 ,165 ,"1,932 ",253 ,"1,604 ",75 
,"Rate per 100,000 inhabitants",,150.2,2.3,42.3,12.4,93.1,"1,090.6",142.8,905.4,42.3
"Knoxville, TN M.S.A.",,"866,295", ,,,,, ,,,
,"Includes Anderson, Blount, Campbell, Knox, Loudon, Morgan, Roane, and Union Counties",,,,,,,,,,
,City of Knoxville,"188,666","1,259 ",22 ,146 ,232 ,859 ,"8,207 ","1,157 ","6,067 ",983 
,Total area actually reporting,100.0%,"3,064 ",35 ,370 ,322 ,"2,337 ","18,423 ","3,036 ","13,115 ","2,272 "
,"Rate per 100,000 inhabitants",,353.7,4.0,42.7,37.2,269.8,"2,126.6",350.5,"1,513.9",262.3
"Kokomo, IN M.S.A.",,"82,480", ,,,,, ,,,
,Includes Howard County,,,,,,,,,,
,City of Kokomo,"57,845",392 ,5 ,25 ,48 ,314 ,"1,493 ",312 ,"1,081 ",100 
,Total area actually reporting,98.7%,455 ,5 ,31 ,53 ,366 ,"1,625 ",342 ,"1,172 ",111 
,Estimated total,100.0%,458 ,5 ,31 ,54 ,368 ,"1,651 ",345 ,"1,193 ",113 
,"Rate per 100,000 inhabitants",,555.3,6.1,37.6,65.5,446.2,"2,001.7",418.3,"1,446.4",137.0
"La Crosse-Onalaska, WI-MN M.S.A.3",,"136,997", ,,,,, ,,,
,"Includes Houston County,3 MN and La Crosse County, WI",,,,,,,,,,
,"City of La Crosse, WI","51,591",122 ,2 ,27 ,26 ,67 ,"1,850 ",226 ,"1,561 ",63 
,"City of Onalaska, WI","18,825",10 ,0 ,2 ,2 ,6 ,522 ,24 ,491 ,7 
,Total area actually reporting,100.0%,169 ,2 ,31 ,28 ,108 ,"2,820 ",337 ,"2,391 ",92 
,"Rate per 100,000 inhabitants",,123.4,1.5,22.6,20.4,78.8,"2,058.4",246.0,"1,745.3",67.2
"Lafayette, LA M.S.A.",,"489,368", ,,,,, ,,,
,"Includes Acadia, Iberia, Lafayette, St. Martin, and Vermilion Parishes",,,,,,,,,,
,City of Lafayette,"126,694",664 ,14 ,16 ,148 ,486 ,"5,454 ","1,032 ","4,101 ",321 
,Total area actually reporting,83.3%,"1,726 ",31 ,98 ,257 ,"1,340 ","11,013 ","2,399 ","7,963 ",651 
,Estimated total,100.0%,"2,283 ",38 ,124 ,335 ,"1,786 ","14,108 ","3,031 ","10,246 ",831 
,"Rate per 100,000 inhabitants",,466.5,7.8,25.3,68.5,365.0,"2,882.9",619.4,"2,093.7",169.8
"Lafayette-West Lafayette, IN M.S.A.",,"233,135", ,,,,, ,,,
,"Includes Benton, Carroll, Tippecanoe, and Warren Counties",,,,,,,,,,
,City of Lafayette,"72,585",352 ,5 ,38 ,55 ,254 ,"2,388 ",387 ,"1,844 ",157 
